id,name,review_count,rating,latitude,longitude,price,station,category_alias,category_title,no_of_bikes,network_id
sAeOKc8TxV0Q_b2cVMJ6Zg,Flirt'The,5.0,5.0,48.8537336,2.3073545,0,Joseph Liouville - Croix Nivert,cafes,Cafes,32,velib
rooUGpVIJkwnYQyaCaBcZg,Arzeh,5.0,5.0,48.8413506,2.30373,€,Joseph Liouville - Croix Nivert,lebanese,Lebanese,32,velib
SjoaLqu2jTjYjeP0IOotZQ,Les Nouilles Fraiches,8.0,5.0,48.8475092,2.29966,0,Joseph Liouville - Croix Nivert,chinese,Chinese,32,velib
SjoaLqu2jTjYjeP0IOotZQ,Les Nouilles Fraiches,8.0,5.0,48.8475092,2.29966,0,Joseph Liouville - Croix Nivert,ramen,Ramen,32,velib
XIb_L5SQSzgKbMWcesBQuw,Neige d'Eté,32.0,5.0,48.8453598,2.2990401,€€€€,Joseph Liouville - Croix Nivert,french,French,32,velib
3B5NtIoQuC--Bme00uDUIA,Le Félix,8.0,5.0,48.84739,2.30599,0,Joseph Liouville - Croix Nivert,french,French,32,velib
ytPPamo0GP3R3y8uCYxSRw,Bacco,6.0,5.0,48.8436329206109,2.29445453910999,€€€€,Joseph Liouville - Croix Nivert,italian,Italian,32,velib
KW9w_p_CZFUvLduYErAMEA,La Chich'Art,58.0,5.0,48.84463,2.3108,€€,Joseph Liouville - Croix Nivert,hookah_bars,Hookah Bars,32,velib
TO1J6K91RjaLnu2RbXdRlA,Ido,5.0,5.0,48.8397197746534,2.30563477778801,0,Joseph Liouville - Croix Nivert,japanese,Japanese,32,velib
4dYX73U9ROTNQZ4GBSlg5w,Akasaka,5.0,5.0,48.84767,2.28564,0,Joseph Liouville - Croix Nivert,korean,Korean,32,velib
dbdJFucvf4i2zpmUW8n_eQ,La Maison de la Mozzarella,5.0,5.0,48.84928,2.29467,€€,Joseph Liouville - Croix Nivert,cheese,Cheese Shops,32,velib
